fact_id,relation,subject,object,subject_ids,relation_ids,object_ids,fact_class
fact_000055, pairs ,ილ,DU,[107944],"[16354, 223]",[15935],negative_control
fact_000056, cites ,移,ifted,[4119],"[75848, 223]",[98538],negative_control
fact_000057, names ,σης,畫面,[46882],"[6362, 223]",[101121],negative_control
fact_000058, keys ,zon,iOS,[30159],"[18222, 223]",[93280],negative_control
fact_000059, binds ,Catalog,роме,[115746],"[51906, 223]",[46372],negative_control
fact_000060, knows ,催促,的确,[74958],"[11457, 223]",[22798],negative_control
fact_000061, stores ,踏上,带货,[77194],"[16765, 223]",[123443],negative_control
fact_000062, maps ,xon,尊敬,[98601],"[17942, 223]",[42181],negative_control
fact_000063, tags ,제,ĕ,[12879],"[27634, 223]",[70763],negative_control
fact_000064, marks ,ilk,berra,[41908],"[15844, 223]",[71843],negative_control
fact_000065, pairs ,了一片,answers,[101637],"[16354, 223]",[57388],negative_control
fact_000066, cites ,غة,խ,[45176],"[75848, 223]",[80050],negative_control
fact_000067, names ,га,orz,[5693],"[6362, 223]",[97945],negative_control
fact_000068, keys ,AMB,信奉,[96027],"[18222, 223]",[115425],negative_control
fact_000069, binds ,Among,支行,[37937],"[51906, 223]",[78659],negative_control
fact_000070, knows ,专项资金,臉上,[109170],"[11457, 223]",[51870],negative_control
fact_000071, stores ,ator,anz,[1741],"[16765, 223]",[12455],negative_control
fact_000072, maps ,.Al,农商,[83953],"[17942, 223]",[123727],negative_control
fact_000073, tags ,金融服务,山西,[72458],"[27634, 223]",[23889],negative_control
fact_000074, marks ,équ,-Verlag,[34136],"[15844, 223]",[78414],negative_control
fact_000075, pairs ,炎,ibolana,[6419],"[16354, 223]",[59928],negative_control
fact_000076, cites ,.props,民,[48500],"[75848, 223]",[1348],negative_control
fact_000077, names ,整流,álva,[86725],"[6362, 223]",[114898],negative_control
fact_000078, keys ,Та,一起,[49209],"[18222, 223]",[4512],negative_control
fact_000079, binds ,YSIS,ستم,[76540],"[51906, 223]",[60094],negative_control
fact_000080, knows ,留念,lu,[107442],"[11457, 223]",[11058],negative_control
fact_000081, stores ,扫黑除恶,品,[106167],"[16765, 223]",[1368],negative_control
fact_000082, maps ,zie,公布的,[8087],"[17942, 223]",[77466],negative_control
fact_000083, tags ,造反,代表作,[102579],"[27634, 223]",[95440],negative_control
fact_000084, marks ,贝克,已达到,[122461],"[15844, 223]",[119015],negative_control
fact_000085, pairs ,деб,elij,[109549],"[16354, 223]",[110675],negative_control
fact_000086, cites ,能有,64,[55490],"[75848, 223]",[2892],negative_control
fact_000087, names ,.u,整合,[55499],"[6362, 223]",[20826],negative_control
fact_000088, keys ,金币,Kabanay,[84862],"[18222, 223]",[65705],negative_control
fact_000089, binds ,(System,following,[30762],"[51906, 223]",[84498],negative_control
fact_000090, knows ,шее,要求和,[60541],"[11457, 223]",[75177],negative_control
fact_000091, stores ,最大限度,好好地,[54437],"[16765, 223]",[111616],negative_control
fact_000092, maps ,119,undle,[9127],"[17942, 223]",[15997],negative_control
fact_000093, tags ,.Type,tit,[74979],"[27634, 223]",[127195],negative_control
fact_000094, marks ,cción,290,[15910],"[15844, 223]",[16234],negative_control
fact_000095, pairs ,inda,后院,[17320],"[16354, 223]",[118104],negative_control
fact_000096, cites ,licted,{(,[53125],"[75848, 223]",[25828],negative_control
fact_000097, names ,慌,_head,[17524],"[6362, 223]",[90232],negative_control
fact_000098, keys ,不一定,题材,[42341],"[18222, 223]",[37983],negative_control
fact_000099, binds ,imate,张扬,[3569],"[51906, 223]",[80287],negative_control
fact_000100, knows ,اعد,没人,[24855],"[11457, 223]",[32497],negative_control
fact_000101, stores ,Xi,ovat,[68894],"[16765, 223]",[28472],negative_control
fact_000102, maps ,教育培训,abol,[83864],"[17942, 223]",[26483],negative_control
fact_000103, tags ,秦皇,Environmental,[124714],"[27634, 223]",[49438],negative_control
fact_000104, marks ,一个新的,选,[64004],"[15844, 223]",[1828],negative_control
fact_000105, pairs ,子和,综合评价,[37374],"[16354, 223]",[126422],negative_control
fact_000106, cites ,ológica,особ,[77613],"[75848, 223]",[18979],negative_control
fact_000107, names ,播种,zilla,[50107],"[6362, 223]",[120756],negative_control
fact_000108, keys ,各异,この,[94575],"[18222, 223]",[16455],negative_control
fact_000109, binds ,があった,<double,[126670],"[51906, 223]",[69682],negative_control
fact_000110, knows ,uild,ologique,[4966],"[11457, 223]",[53675],negative_control
fact_000111, stores ,捂着,阳台,[100913],"[16765, 223]",[56775],negative_control
fact_000112, maps ,etters,zny,[57186],"[17942, 223]",[93384],negative_control
fact_000113, tags ,差不多了,实的,[72633],"[27634, 223]",[29714],negative_control
fact_000114, marks ,重合,程序中,[66922],"[15844, 223]",[87038],negative_control
fact_000115, pairs ,inski,杀手,[44445],"[16354, 223]",[57112],negative_control
fact_000116, cites ,863,142,[30625],"[75848, 223]",[10193],negative_control
fact_000117, names ,ustainability,增量,[96293],"[6362, 223]",[58470],negative_control
fact_000118, keys ,291,街道办事处,[17979],"[18222, 223]",[106442],negative_control
fact_000119, binds ,ابر,draw,[47568],"[51906, 223]",[14347],negative_control
fact_000120, knows ,λο,热电,[14380],"[11457, 223]",[115105],negative_control
fact_000121, stores ,培训和,昔,[113694],"[16765, 223]",[28685],negative_control
fact_000122, maps ,唏,以下有期徒刑,[122374],"[17942, 223]",[107071],negative_control
fact_000123, tags ,telling,微妙,[32626],"[27634, 223]",[89547],negative_control
fact_000124, marks ,陽光,独特的,[113043],"[15844, 223]",[32328],negative_control
fact_000125, pairs ,主要包括,ে,[38001],"[16354, 223]",[1519],negative_control
fact_000126, cites ,嘶,ologiques,[47435],"[75848, 223]",[86959],negative_control
fact_000127, names ,χο,工作中的,[89094],"[6362, 223]",[81917],negative_control
fact_000128, keys ,★★,担心的,[37269],"[18222, 223]",[104893],negative_control
fact_000129, binds ,快餐,小心,[109396],"[51906, 223]",[15685],negative_control
fact_000130, knows ,等方式,enchymal,[37202],"[11457, 223]",[71652],negative_control
fact_000131, stores ,nick,立ち,[47466],"[16765, 223]",[117850],negative_control
fact_000132, maps ,流行病,letter,[95380],"[17942, 223]",[19205],negative_control
fact_000133, tags ,不下,謝謝,[31366],"[27634, 223]",[67091],negative_control
fact_000134, marks ,Quantum,古人,[114700],"[15844, 223]",[44282],negative_control
fact_000135, pairs ,致远,球员,[115955],"[16354, 223]",[26120],negative_control
fact_000136, cites ,での,fell,[51928],"[75848, 223]",[117032],negative_control
fact_000137, names ,_A,ular,[24074],"[6362, 223]",[1182],negative_control
fact_000138, keys ,zzo,贵州,[52126],"[18222, 223]",[26978],negative_control
fact_000139, binds ,ceptual,Idx,[95769],"[51906, 223]",[49551],negative_control
fact_000140, knows ,velt,会把,[37492],"[11457, 223]",[70427],negative_control
fact_000141, stores ,委员会的,养老金,[107690],"[16765, 223]",[57276],negative_control
fact_000142, maps ,stitutes,柚,[89286],"[17942, 223]",[62218],negative_control
fact_000143, tags ,тенсив,崔,[95519],"[27634, 223]",[25419],negative_control
fact_000144, marks ,行星,沉,[62952],"[15844, 223]",[5216],negative_control
fact_000145, pairs ,并行,设计的,[66518],"[16354, 223]",[31174],negative_control
fact_000146, cites ,传来的,Variables,[97439],"[75848, 223]",[99643],negative_control
fact_000147, names ,ethods,的产品,[83433],"[6362, 223]",[26682],negative_control
fact_000148, keys ,κε,月初,[20254],"[18222, 223]",[32861],negative_control
fact_000149, binds ,污,大雪,[8038],"[51906, 223]",[88421],negative_control
fact_000150, knows ,Leave,充分调动,[55089],"[11457, 223]",[114960],negative_control
fact_000151, stores ,baby,KING,[106255],"[16765, 223]",[104531],negative_control
fact_000152, maps ,三层,萨尔,[76484],"[17942, 223]",[112661],negative_control
fact_000153, tags ,人数的,Shader,[113048],"[27634, 223]",[85585],negative_control
fact_000154, marks ,捐,医疗卫生,[17054],"[15844, 223]",[73653],negative_control
fact_000155, pairs ,手枪,替,[111261],"[16354, 223]",[8236],negative_control
fact_000156, cites ,856,Optim,[30193],"[75848, 223]",[80655],negative_control
fact_000157, names ,Branch,在原,[84285],"[6362, 223]",[107353],negative_control
fact_000158, keys ,我把,bars,[34595],"[18222, 223]",[87462],negative_control
fact_000159, binds ,iteit,Produ,[38735],"[51906, 223]",[83703],negative_control
fact_000160, knows ,蛇,рю,[16140],"[11457, 223]",[83608],negative_control
fact_000161, stores ,Cert,oodles,[52568],"[16765, 223]",[125103],negative_control
fact_000162, maps ,拥有的,Uniform,[53560],"[17942, 223]",[111937],negative_control
fact_000163, tags ,被我,elsk,[68620],"[27634, 223]",[58540],negative_control
fact_000164, marks ,Thor,En,[111400],"[15844, 223]",[4378],negative_control
fact_000165, pairs ,micron,遇到的问题,[95321],"[16354, 223]",[125304],negative_control
fact_000166, cites ,了一眼,对学生,[24371],"[75848, 223]",[59689],negative_control
fact_000167, names ,对手,气虚,[19002],"[6362, 223]",[116049],negative_control
fact_000168, keys ,灭亡,外交部,[74830],"[18222, 223]",[92859],negative_control
fact_000169, binds ,風格,Dev,[95540],"[51906, 223]",[22536],negative_control
fact_000170, knows ,Direct,binant,[19943],"[11457, 223]",[51385],negative_control
fact_000171, stores ,жа,propylene,[9021],"[16765, 223]",[105930],negative_control
fact_000172, maps ,形体,ieder,[75086],"[17942, 223]",[23523],negative_control
fact_000173, tags ,RU,Email,[51468],"[27634, 223]",[20371],negative_control
fact_000174, marks ,俺,戦,[47203],"[15844, 223]",[37893],negative_control
fact_000175, pairs ,不进,积水,[112966],"[16354, 223]",[74201],negative_control
fact_000176, cites ,เติม,变,[112665],"[75848, 223]",[1542],negative_control
fact_000177, names ,ducers,连云,[56006],"[6362, 223]",[115894],negative_control
fact_000178, keys ,时时,rated,[64164],"[18222, 223]",[5705],negative_control
fact_000179, binds ,mour,xties,[78992],"[51906, 223]",[103112],negative_control
fact_000180, knows ,simple,对你,[63915],"[11457, 223]",[37253],negative_control
fact_000181, stores ,ธี,启用,[44655],"[16765, 223]",[64268],negative_control
fact_000182, maps ,绕过,下半,[104452],"[17942, 223]",[57436],negative_control
fact_000183, tags ,丰满,altro,[93405],"[27634, 223]",[119021],negative_control
fact_000184, marks ,笛,блю,[40779],"[15844, 223]",[46633],negative_control
fact_000185, pairs ,尖锐,点点头,[59473],"[16354, 223]",[34384],negative_control
fact_000186, cites ,бина,олит,[92714],"[75848, 223]",[81479],negative_control
fact_000187, names ,青色,房中,[94280],"[6362, 223]",[122457],negative_control
fact_000188, keys ,美術,外层,[102124],"[18222, 223]",[117055],negative_control
fact_000189, binds ,每一,_body,[13892],"[51906, 223]",[106270],negative_control
fact_000190, knows ,请他,狂奔,[114562],"[11457, 223]",[118955],negative_control
fact_000191, stores ,ρή,versed,[88139],"[16765, 223]",[96525],negative_control
fact_000192, maps ,ث,skiej,[4581],"[17942, 223]",[61578],negative_control
fact_000193, tags ,VIRONMENT,organic,[112929],"[27634, 223]",[33320],negative_control
fact_000194, marks ,-min,ากาศ,[20191],"[15844, 223]",[96529],negative_control
fact_000195, pairs ,维稳,sein,[116568],"[16354, 223]",[55242],negative_control
fact_000196, cites ,ми,-phenyl,[3120],"[75848, 223]",[115144],negative_control
fact_000197, names ,ęć,Track,[66399],"[6362, 223]",[38267],negative_control
fact_000198, keys ,framework,侵袭,[14804],"[18222, 223]",[93744],negative_control
fact_000199, binds ,和我,¥,[24415],"[51906, 223]",[62019],negative_control
fact_000200, knows ,221,Va,[13723],"[11457, 223]",[70561],negative_control
fact_000201, stores ,葱花,aiser,[125995],"[16765, 223]",[51686],negative_control
fact_000202, maps ,inher,лению,[65845],"[17942, 223]",[53113],negative_control
fact_000203, tags ,并表示,سط,[117483],"[27634, 223]",[78897],negative_control
fact_000204, marks ,prov,Divisors,[27035],"[15844, 223]",[46847],negative_control
fact_000205, pairs ,че,_from,[3267],"[16354, 223]",[39711],negative_control
fact_000206, cites ,这里有,Hans,[80519],"[75848, 223]",[105378],negative_control
fact_000207, names ,牌子,Bab,[68010],"[6362, 223]",[108275],negative_control
fact_000208, keys ,Estim,谈了,[102077],"[18222, 223]",[127916],negative_control
fact_000209, binds ,Ian,这副,[114829],"[51906, 223]",[105368],negative_control
fact_000210, knows ,後面,ayah,[90897],"[11457, 223]",[72724],negative_control
fact_000211, stores ,på,非要,[96031],"[16765, 223]",[58173],negative_control
fact_000212, maps ,卤,_Z,[53381],"[17942, 223]",[84209],negative_control
fact_000213, tags ,реги,-images,[122660],"[27634, 223]",[103827],negative_control
fact_000214, marks ,-inf,崖,[36593],"[15844, 223]",[30151],negative_control
fact_000215, pairs ,內的,ronics,[76230],"[16354, 223]",[63078],negative_control
fact_000216, cites ,知识分子,和义务,[60872],"[75848, 223]",[88405],negative_control
fact_000217, names ,".""""",测,[56299],"[6362, 223]",[2679],negative_control
fact_000218, keys ,跨界,一,[100636],"[18222, 223]",[378],negative_control
fact_000219, binds ,ativity,dot,[27584],"[51906, 223]",[24799],negative_control
fact_000220, knows ,ujo,蘑菇,[61296],"[11457, 223]",[63214],negative_control
fact_000221, stores ,舟,recipe,[17993],"[16765, 223]",[84899],negative_control
fact_000222, maps ,不由得,artment,[47271],"[17942, 223]",[4185],negative_control
fact_000223, tags ,ду,方方面,[6812],"[27634, 223]",[91917],negative_control
fact_000224, marks ,terms,agnetic,[62827],"[15844, 223]",[20748],negative_control
fact_000225, pairs ,-sufficient,777,[121792],"[16354, 223]",[22199],negative_control
fact_000226, cites ,各班,则是,[99563],"[75848, 223]",[17039],negative_control
fact_000227, names ,опреде,/work,[120610],"[6362, 223]",[124907],negative_control
fact_000228, keys ,Jy,瓶子,[103013],"[18222, 223]",[81283],negative_control
fact_000229, binds ,/env,本品,[58864],"[51906, 223]",[62994],negative_control
fact_000230, knows ,Zn,紙,[44257],"[11457, 223]",[34640],negative_control
fact_000231, stores ,cliffe,探测,[78573],"[16765, 223]",[42195],negative_control
fact_000232, maps ,CLUS,科学性,[42476],"[17942, 223]",[127403],negative_control
fact_000233, tags ,通讯员,raciones,[59154],"[27634, 223]",[112259],negative_control
fact_000234, marks ,判定,帝王,[40159],"[15844, 223]",[56370],negative_control
fact_000235, pairs ,庆,鐘,[7476],"[16354, 223]",[35057],negative_control
fact_000236, cites ,纔,不只,[67201],"[75848, 223]",[101804],negative_control
fact_000237, names ,百计,解析,[97579],"[6362, 223]",[13849],negative_control
fact_000238, keys ,八百,isée,[64019],"[18222, 223]",[92304],negative_control
fact_000239, binds ,several,roz,[118654],"[51906, 223]",[40809],negative_control
fact_000240, knows ,一震,YU,[108210],"[11457, 223]",[101915],negative_control
fact_000241, stores ,ником,assis,[80116],"[16765, 223]",[63360],negative_control
fact_000242, maps ,脱贫,娘的,[28085],"[17942, 223]",[98288],negative_control
fact_000243, tags ,天之,举,[100218],"[27634, 223]",[3956],negative_control
fact_000244, marks ,"]"",",够了,[96603],"[15844, 223]",[50618],negative_control
fact_000245, pairs ,zens,"'"".",[33311],"[16354, 223]",[104458],negative_control
fact_000246, cites ,тические,想要,[103236],"[75848, 223]",[7578],negative_control
fact_000247, names ,遭到,kach,[35111],"[6362, 223]",[76084],negative_control
fact_000248, keys ,接入,庙,[49825],"[18222, 223]",[18076],negative_control
fact_000249, binds ,_account,VP,[85937],"[51906, 223]",[26762],negative_control
fact_000250, knows ,寺,reden,[12845],"[11457, 223]",[108689],negative_control
fact_000251, stores ,cephalus,食品药品,[104159],"[16765, 223]",[106386],negative_control
fact_000252, maps ,崇尚,不自,[81212],"[17942, 223]",[58199],negative_control
fact_000253, tags ,quote,Ste,[54016],"[27634, 223]",[7410],negative_control
fact_000254, marks ,要素,羣,[17365],"[15844, 223]",[108601],negative_control
fact_000255, pairs ,成语,人们对,[48995],"[16354, 223]",[47290],negative_control
fact_000256, cites ,えて,ayaan,[47409],"[75848, 223]",[77518],negative_control
fact_000257, names ,λλα,.comp,[105914],"[6362, 223]",[55732],negative_control
fact_000258, keys ,ตก,入职,[85448],"[18222, 223]",[80123],negative_control
fact_000259, binds ,的主体,.E,[44197],"[51906, 223]",[6172],negative_control
fact_000260, knows ,QUEST,ولوج,[42249],"[11457, 223]",[66197],negative_control
fact_000261, stores ,俩人,等措施,[99386],"[16765, 223]",[96567],negative_control
fact_000262, maps ,ুব,角度,[61939],"[17942, 223]",[11416],negative_control
fact_000263, tags ,综上,现在看来,[55542],"[27634, 223]",[117563],negative_control
fact_000264, marks ,zik,看得出来,[56031],"[15844, 223]",[111772],negative_control
fact_000265, pairs ,ку,瘩,[6766],"[16354, 223]",[85614],negative_control
fact_000266, cites ,oci,_users,[1658],"[75848, 223]",[102379],negative_control
fact_000267, names ,/X,ฺ,[66699],"[6362, 223]",[113217],negative_control
fact_000268, keys ,্,住房,[1549],"[18222, 223]",[21043],negative_control
fact_000269, binds ,ellen,领袖,[14691],"[51906, 223]",[46003],negative_control
fact_000270, knows ,進來,Bachelor,[70680],"[11457, 223]",[127221],negative_control
fact_000271, stores ,сия,िम,[57330],"[16765, 223]",[78021],negative_control
fact_000272, maps ,UPDATE,樱桃,[56071],"[17942, 223]",[72922],negative_control
fact_000273, tags ,えば,izio,[53502],"[27634, 223]",[39992],negative_control
fact_000274, marks ,休眠,ackson,[124319],"[15844, 223]",[92245],negative_control
fact_000275, pairs ,separ,"},{""",[72940],"[16354, 223]",[116991],negative_control
fact_000276, cites ,гети,无边,[107050],"[75848, 223]",[95152],negative_control
fact_000277, names ,ость,在一个,[84305],"[6362, 223]",[21235],negative_control
fact_000278, keys ,ind,拟,[655],"[18222, 223]",[8543],negative_control
fact_000279, binds ,穩定,務,[82852],"[51906, 223]",[12337],negative_control
fact_000280, knows ,-left,_stack,[34003],"[11457, 223]",[80818],negative_control
fact_000281, stores ,嗡,door,[54472],"[16765, 223]",[16473],negative_control
fact_000282, maps ,很高的,竞争力,[52321],"[17942, 223]",[33093],negative_control
fact_000283, tags ,不舒服,毎,[52841],"[27634, 223]",[73703],negative_control
fact_000284, marks ,EC,领导的,[3255],"[15844, 223]",[50593],negative_control
fact_000285, pairs ,Therefore,还算,[21392],"[16354, 223]",[55445],negative_control
fact_000286, cites ,ufen,그,[52606],"[75848, 223]",[25789],negative_control
fact_000287, names ,ак,增收,[8316],"[6362, 223]",[57271],negative_control
fact_000288, keys ,ństwa,.Thread,[69206],"[18222, 223]",[31050],negative_control
fact_000289, binds ,朋友,tenant,[5104],"[51906, 223]",[59284],negative_control
fact_000290, knows ,一盏,-paced,[120543],"[11457, 223]",[53598],negative_control
fact_000291, stores ,Trace,ন্ত,[41170],"[16765, 223]",[31120],negative_control
fact_000292, maps ,兩,Ｔ,[8053],"[17942, 223]",[116251],negative_control
fact_000293, tags ,先进性,aic,[102358],"[27634, 223]",[67486],negative_control
fact_000294, marks ,是他们,刹,[74700],"[15844, 223]",[27800],negative_control
fact_000295, pairs ,ครับ,дий,[79813],"[16354, 223]",[110530],negative_control
fact_000296, cites ,ioned,考入,[22319],"[75848, 223]",[119603],negative_control
fact_000297, names ,story,ffffff,[57706],"[6362, 223]",[95761],negative_control
fact_000298, keys ,裂隙,債務,[114328],"[18222, 223]",[123842],negative_control
fact_000299, binds ,ariables,-century,[106706],"[51906, 223]",[23505],negative_control
fact_000300, knows ,会员,ี่ยว,[22831],"[11457, 223]",[38786],negative_control
fact_000301, stores ,ิก,ís,[52419],"[16765, 223]",[13154],negative_control
fact_000302, maps ,891,部门,[31444],"[17942, 223]",[4898],negative_control
fact_000303, tags ,_stat,uita,[115132],"[27634, 223]",[116345],negative_control
fact_000304, marks ,及有关,做题,[118894],"[15844, 223]",[91823],negative_control
fact_000305, pairs ,воз,注册资本,[44553],"[16354, 223]",[91150],negative_control
fact_000306, cites ,Screen,岂不是,[34236],"[75848, 223]",[72733],negative_control
fact_000307, names ,-sponsored,不要去,[91401],"[6362, 223]",[125446],negative_control
fact_000308, keys ,fat,761,[62940],"[18222, 223]",[28892],negative_control
fact_000309, binds ,光了,се,[74654],"[51906, 223]",[5531],negative_control
fact_000310, knows ,强制,划定,[24067],"[11457, 223]",[116954],negative_control
fact_000311, stores ,在中国的,.\,[113720],"[16765, 223]",[10276],negative_control
fact_000312, maps ,abit,****************************************************************,[67242],"[17942, 223]",[42101],negative_control
fact_000313, tags ,之又,گذار,[118971],"[27634, 223]",[122275],negative_control
fact_000314, marks ,ครอบ,énd,[108628],"[15844, 223]",[91852],negative_control
fact_000315, pairs ,的要求,"=',",[15464],"[16354, 223]",[108192],negative_control
fact_000316, cites ,期满,年轻,[80569],"[75848, 223]",[10291],negative_control
fact_000317, names ,臨,一想到,[30759],"[6362, 223]",[84786],negative_control
fact_000318, keys ,structor,蛮,[25559],"[18222, 223]",[24039],negative_control
fact_000319, binds ,港湾,วัติ,[126963],"[51906, 223]",[98337],negative_control
fact_000320, knows ,ogon,找个,[36939],"[11457, 223]",[49670],negative_control
fact_000321, stores ,作息,単位,[82555],"[16765, 223]",[124878],negative_control
fact_000322, maps ,เศรษฐกิจ,媒体,[115275],"[17942, 223]",[10887],negative_control
fact_000323, tags ,把这个,ами,[49593],"[27634, 223]",[69050],negative_control
fact_000324, marks ,雷,开启,[6124],"[15844, 223]",[20839],negative_control
fact_000325, pairs ,富,_message,[4113],"[16354, 223]",[53735],negative_control
fact_000326, cites ,指挥官,专业合作社,[114012],"[75848, 223]",[120939],negative_control
fact_000327, names ,赶来,établ,[85845],"[6362, 223]",[115207],negative_control
fact_000328, keys ,螃,大势,[84136],"[18222, 223]",[118442],negative_control
fact_000329, binds ,認為,337,[36086],"[51906, 223]",[19819],negative_control
fact_000330, knows ,٢,そんな,[76647],"[11457, 223]",[92579],negative_control
fact_000331, stores ,从而提高,œur,[115085],"[16765, 223]",[75363],negative_control
fact_000332, maps ,过的,prises,[13722],"[17942, 223]",[22339],negative_control
fact_000333, tags ,推出了,并结合,[58984],"[27634, 223]",[84642],negative_control
fact_000334, marks ,_p,ernacle,[5224],"[15844, 223]",[116878],negative_control
fact_000335, pairs ,摩托,拯救,[38949],"[16354, 223]",[50411],negative_control
fact_000336, cites ,po,Rail,[4269],"[75848, 223]",[124104],negative_control
fact_000337, names ,kers,Lead,[38264],"[6362, 223]",[59974],negative_control
fact_000338, keys ,goto,.back,[105723],"[18222, 223]",[62835],negative_control
fact_000339, binds ,ighton,拗,[107253],"[51906, 223]",[106296],negative_control
fact_000340, knows ,醫療,insen,[78065],"[11457, 223]",[115009],negative_control
fact_000341, stores ,위,更有,[25486],"[16765, 223]",[23220],negative_control
fact_000342, maps ,란,uben,[49232],"[17942, 223]",[55251],negative_control
fact_000343, tags ,come,吃力,[4942],"[27634, 223]",[103515],negative_control
fact_000344, marks ,¡,Responsibilities,[53403],"[15844, 223]",[121354],negative_control
fact_000345, pairs ,Dom,审讯,[45539],"[16354, 223]",[117536],negative_control
fact_000346, cites ,大師,次,[89039],"[75848, 223]",[1293],negative_control
fact_000347, names ,ger,西汉,[2599],"[6362, 223]",[80066],negative_control
fact_000348, keys ,冒充,Mrs,[109404],"[18222, 223]",[45033],negative_control
fact_000349, binds ,اضي,根治,[77198],"[51906, 223]",[109581],negative_control
fact_000350, knows ,.html,would,[9553],"[11457, 223]",[38667],negative_control
fact_000351, stores ,英才,单片机,[127421],"[16765, 223]",[117427],negative_control
fact_000352, maps ,irse,(total,[61913],"[17942, 223]",[82202],negative_control
fact_000353, tags ,ிப,浪潮,[124121],"[27634, 223]",[68727],negative_control
fact_000354, marks ,会议精神,邂,[72056],"[15844, 223]",[113357],negative_control
