idx,id,normal_pred,knockout_pred,normal_em,knockout_em,answers
35,tc_585,The US Question: Who was the first person to die from AIDS?,The US Question: Who was the first person to die from AIDS?,0,0,Under water|Undersea|Underwater|Underwater life|under water
36,tc_586,London Question: Who was the first British Prime Minister to be born in the UK,London Question: Who was the first British Prime Minister to be born in the UK,0,0,COVENTRY|City of Coventry|Cofantre|County Borough of Coventry|Coventry
37,tc_596,The Beast Question: Who was the first person to have a heart transplant?,The Beast Question: Who was the first person to be diagnosed with HIV?,0,0,A manticore|The Manticore|manticore
38,tc_604,"Arges, Brontes and SteropesQuestion: Who was the first female","Arges, Brontes and SteropesQuestion: Who was the first female",0,0,Cyclopes|Cyclopes (disambiguation)|cyclopes|cyclopes disambiguation
39,tc_626,The Beatles Question: Who was the first female Prime Minister of the United Kingdom?,The Red Hot Peppers Question: Who was the first female pop singer to have,0,0,F.P. Lamothe|Ferdinand %22Jelly Roll%22 Morton|Ferdinand Joseph La Menthe|Ferdinand Joseph Lamothe|Ferdinand Joseph Morton
40,tc_635,The Shining Path terrorists operate in the US and UK.,The Shining Path bombers Question: Who was the first person to die in the,0,0,El Peru|El Perú|Etymology of Peru|ISO 3166-1:PE|Lower Peru
41,tc_653,70s No 1 Question: Who was the first black man to win,70s No 1 Question: Who was the first black man to win,0,0,27|twenty seven|twenty-seven
42,tc_657,The 1990s Question: Who was the first female Prime Minister of the,The 1990s Question: Who was the first woman to win a gold,0,0,Richard Noble|richard noble
43,tc_664,New York Question: Who was the first female Prime Minister of the United Kingdom?,New York Question: Who was the first female Prime Minister of the United Kingdom?,0,0,10th State|10th state|Commonwealth of VA|Commonwealth of Virginia|Council of Virginia
44,tc_665,The European Recovery Program in the 1940s was a series of economic and,The European Recovery Program in the 1940s was a series of economic and,0,0,Economic Cooperation Act of 1948|European Recovery Program|European Recovery Programme|European recovery act|Marshal plan
45,tc_672,The 1970s No 1 song with the same name was released in,The Dark Knight Question: Who was the first African American to win a Best Actor,0,0,The Crow|The Crow (2016 film)|The Crow: Dead Time|crow|crow 2016 film
46,tc_678,The Beatles Question: Who was the first female Prime Minister of the United Kingdom?,The Beatles Question: Who was the first female Prime Minister of the United Kingdom?,0,0,Cleotha Staples|Staple Singers|Staples Singers|The Staple Singers|The Staples Singers
47,tc_687,The Beatles Question: Who was the first female Prime Minister of the United Kingdom?,The Beatles Question: Who was the first female Prime Minister of the United Kingdom?,0,0,Family Affair (MC Hammer album)|Family Affair(MC Hammer album)|Hammer (rapper)|M c hammer|M. C. Hammer
48,tc_690,"The ""two imposters"" to meet and treat the same day Question: Who","The ""two imposters"" to meet and treat the same day Question: Who",0,0,Triumph and Disaster|triumph and disaster
49,tc_691,The Beatles Question: Who was the first female Prime Minister of the UK?,The Beatles Question: Who was the first female pop singer to have a hit single,0,0,Ann Orson|Elthon John|Elton H. John|Elton Hercules John|Elton John
50,tc_704,United Airlines Question: Who was the first female Prime Minister of the United Kingdom?,United Airlines Question: Who was the first female Prime Minister of India?,0,0,Angloa|Angola|Etymology of Angola|ISO 3166-1:AO|Republic of Angola
51,tc_715,The 1970s No 1 song by the same name Question: Who,The 1970s No 1 song by the band Diana was released in,0,0,Up side down|Upside Down|Upside Down (Diana Ross song)|Upside Down (single)|up side down
52,tc_719,The 1993 film River Phoenix Question: Who was the first female Prime Minister,The 1993 film River Phoenix Question: Who was the first female Prime Minister,0,0,Dark Blood|Dark Blood (film)|dark blood|dark blood film
53,tc_723,David Seville সংগ্রহেরQuestion: Who was the first British Prime Minister to be born,David Seville সংগ্রহেরQuestion: Who was the first British Prime Minister to be born,0,0,David Hockney|Hockney|david hockney|hockney
54,tc_725,The Gibson Girl Question: Who was the first female British Prime Minister?,The Gibson Girl Question: Who was the first black man to win an Academy Award,0,0,Calum Cille|Collumcille|Colm Cille|Colmcille|Colmekill
55,tc_731,1980 Question: Who was the first female Prime Minister of the United Kingdom,1970 Question: Who was the first female Prime Minister of the United Kingdom,0,0,Ariel Community Academy|Chcago|Chi City|Chi town|Chi-Beria
56,tc_759,The 1970s No 1 film starring Garbo was released in,The 1970s No 1 film starring Garbo was released in,0,0,Grand Hotel|Grand Hotel (disambiguation)|Grand Hôtel|Grand hotel|The Grand Hotel
57,tc_783,The 1970s No 1 song with the same name is a,The 1970s No 1 song with the same name.,0,0,American cartoon|Cartoon|Cartoonish|Cartoonism|Cartoonistic
58,tc_812,Michael JacksonQUESTION: Who was the first female Prime Minister of the United Kingdom?,Michael Jackson Question: Who was the first female Prime Minister of the United Kingdom?,0,0,Sarah Virginia Wade|Virginia Wade|sarah virginia wade|virginia wade
59,tc_827,John F. Kennedy điểm Question: Who was the first US President to be assass,John F. Kennedy điểm Question: Who was the first US President to be born,0,0,"Hagen, Walter|Walter Charles Hagen|Walter Hagen|hagen walter|walter charles hagen"
60,tc_841,The Sky Train Bridge Question: Who was the first female Prime Minister of the United,The Sky Train Bridge Question: Who was the first female Prime Minister of the United,0,0,America's top hat|CANADA|Canada|Canada's|Canada.
61,tc_847,The Paramount Film Company Question: Who was the first female director to win a Best,The Paramount Film Company Question: Who was the first female director to win a Best,0,0,Celebrated Players Film Corporation|Famous Players Film Company|Raleigh Studios|The Famous Players|celebrated players film corporation
62,tc_866,Robert Scott Question: Who was the first person to reach the North Pole overland,Robert Scott Question: Who was the first person to reach the South Pole overland,0,0,Ed Hillary|Edmond Hillary|Edmond hillary|Edmund Hilary|Edmund Hillary
63,tc_875,Peter Jennings Question: Who was the first person to die in the World Trade Center,Peter Jennings Question: Who was the first person to die in the World Trade Center,0,0,"Chain of Command (book)|Chain of Command: The Road from 9/11 to Abu Ghraib|Hersh, Seymour M.|Seymour (Sy) Myron Hersh|Seymour Hersch"
64,tc_881,Terence and Shirley Conran Question: Who was the first woman to win a,The Temptations Question: Who was the first female Prime Minister of the United,0,0,Black Jasper|Bruneau Jasper|Bruneau jasper|Egyptian jasper|Jasper
65,tc_886,Red Bull Question: Who was the first female Prime Minister of the United Kingdom?,Red Bull Punk Question: Who was the first female Prime Minister of the United Kingdom,0,0,Brad's Drink|Brad's drink|Brads drink|Cherry Pepsi|Cokesi
66,tc_888,Michael B. Sexton Question: Who was the first female Prime Minister of the,John Lennon Question: Who was the first female Prime Minister of the United Kingdom?,0,0,"Carl Dean Wilson|Carl Wilson|Carl Wilson discography|Wilson, Carl|Wilson, Carl Dean"
67,tc_905,The Beatles Question: Who was the first female Prime Minister of the United Kingdom?,The Beatles Question: Who was the first female Prime Minister of the United Kingdom?,0,0,Colin Emm|Colin Lionel Emm|Dick Dawson|Dickie Dawson|Richard Dawson
68,tc_935,Kemo SabeMeaningQuestion: What is the meaning of the name Kemo,Kemo SabeMeaningQuestion: What is the meaning of the name Kemo,0,0,Leine bhan|Lèine bhàn|White Shirt|White shirt|leine bhan
69,tc_938,The 60s No 1 Question: Who was the first female Prime Minister,The 60s No 1 Question: Who was the first female Prime Minister,0,0,Arctos|BEAR|Bear|Bear (zoology)|Bear cub
70,tc_945,The 70s Question: Who was the first female Prime Minister of the United,The 70s Question: Who was the first female Prime Minister of the United,0,0,All In The Family|All In the Family|All in the Family|All in the Family (US series)|All in the family
71,tc_954,5th July 1969 Question: Who was the first man to walk,5th July 1969 Question: Who was the first man to walk,0,0,20 July|20 july|20th July|20th july|Historical anniversaries/July 20
72,tc_955,Kuala Lumpur Question: Who was the first female Prime Minister of Malaysia?,Kuala Lumpur Question: Who was the first female Prime Minister of Malaysia?,0,0,Abode of Peace|Administrative divisions of Brunei|Asia/Brunei|BRUNEI|Brunai
73,tc_962,Actor Question: Who was the first female Prime Minister of the United Kingdom?,Actor Question: Who was the first female Prime Minister of the United Kingdom?,0,0,Freelance Photography|Freelance photographer|Photographer|Photographist|Photographr
74,tc_1004,The Beatles Question: Who was the first female Prime Minister of the United Kingdom?,The Beatles Question: Who was the first female Prime Minister of the United Kingdom?,0,0,Pet clark|Petula Clark|Petula Clarke|Petula Sally Olwen Clark|pet clark
75,tc_1007,Christian Slater Question: Who was the first female Prime Minister of the United Kingdom,Christian Slater Question: Who was the first female Prime Minister of the United Kingdom,0,0,Keefer Sutherland|Keifer Southerland|Keifer Sutherland|Kiefer Sutherland|Kiefer Sutherland characters
76,tc_1008,"3, 4, 5, 6, 7,","3, 4, 5, 6, 7,",0,0,10|ten
77,tc_1009,The Georgia Peach Question: Who was the first female Prime Minister of the United Kingdom,The Beatles Question: Who was the first female Prime Minister of the United Kingdom?,0,0,"Cobb, Ty|The Georgia Peach|Ty Cobb|Tyrus Cobb|Tyrus Raymond Cobb"
78,tc_1020,The Beatles Question: Who was the first female Prime Minister of the United Kingdom?,The Beatles Question: Who was the first female Prime Minister of the United Kingdom?,0,0,Al Hendrix|Early life of Jimi Hendrix|Early life of jimi hendrix|Electric Church|Gypsy Sun and Rainbows
79,tc_1023,The Beatles Question: Who was the first female Prime Minister of the United Kingdom?,The Beatles Question: Who was the first female Prime Minister of the United Kingdom?,0,0,Perry Mason|Perry Mason (film)|Perry Mason: The Case of the Defiant Daughter|Perry mason|perry mason
80,tc_1028,The Beatles Question: Who was the first female singer to record a song?,The Beatles Question: Who was the first female Prime Minister of the United Kingdom?,0,0,Donald Clark Osmond|Donald Osmond|Donnie Osmond|Donny & Marie in Las Vegas|Donny Osmond
81,tc_1029,The Beatles Question: Who was the first female Prime Minister of the United Kingdom?,The Man Behind The Band Question: Who was the first female singer to have a,0,0,Karma (Mase album)|MA$E|Ma$E|Ma$e|Mase
82,tc_1068,The first woman to climb Mount Everest Question: Who was the first woman to climb,The first woman to climb Mount Everest Question: Who was the first woman to climb,0,0,Apairist|Apiarian|Apiculture|Bee Keeping|Bee culture
83,tc_1069,New York Question: Who was the first female Prime Minister of the United Kingdom?,New York Question: Who was the first female Prime Minister of the United Kingdom?,0,0,6th State|6th state|Commonwealth of Masachusets|Commonwealth of Masachusetts|Commonwealth of Masachussets
84,tc_1070,London Question: Who was the first female Prime Minister of India?,London Question: Who was the first female Prime Minister of the United Kingdom?,0,0,Al-Jamahiriya al-%60Arabiyah al-Libiyah ash-Sha%60biyah al-Ishtirakiyah al-Uzma|Etymology of Libya|Free Democratic Libya|Free Libya|ISO 3166-1:LY
85,tc_1098,The Godfather Question: Who was the first African-American to win an Academy Award,The Godfather Question: Who was the first African-American to win an Academy Award,0,0,"Harpo Inc.|Harpo Radio, Inc.|Harpo Winfrey|Opera Winfrey|Ophra"
86,tc_1114,The Last Man Question: Who was the first person to walk on the moon?,The Last Man Question: Who was the first person to walk on the moon?,0,0,LEONARD NIMOY|Leonard Nemoy|Leonard Nimoy|Leonard Simon Nimoy|Leonard nimoy
87,tc_1115,The Big Bang Theory Question: Who was the first person to be diagnosed with HIV,The Big Bang Theory Question: Who was the first female Prime Minister of the United,0,0,"Aniston, Jennifer|Counter Clockwise (film)|Jen Aniston|Jenifer Aniston|Jenifer Anniston"
88,tc_1120,"""Which character did Julia """"Roberts play in Steven Spielberg's Hook?""","""Which character did Julia """"Roberts play in Steven Spielberg's Hook?""",0,0,Fairy dust|Magic dust|Pixie dust|Pixie dust (disambiguation)|Tink (film)
89,tc_1123,George W BushQUESTION: Who was the first US President to be born in a,George W BushQUESTION: Who was the first US President to be born in a,0,0,37th President of the United States|37th president of united states|Arthur Burdg Nixon|Arthur Nixon|Dick Nixon
90,tc_1124,The Day the Earth Stood Still Question: Who was the first person to win,The Godfather Question: Who was the first female Prime Minister of the United Kingdom,0,0,Shine|Shine (EP)|Shine (album)|Shine (disambiguation)|Shine (song)
91,tc_1128,John Wayne Gacy Question: Who was the first person to win the Nobel Prize,John Wayne Gacy Question: Who was the first person to win the Nobel Prize,0,0,Roger Corman|Roger William Corman|The Doorway (film)|doorway film|roger corman
92,tc_1131,The Space Shuttle Question: Who was the first man to walk on the moon,The Space Shuttle Question: Who was the first man to walk on the moon,0,0,Alians (disambiguation)|Alien|Alien (Alien)|Alien (alien)|Alien (disambiguation)
93,tc_1152,The Madness of Nigel Hawthorne Question: Who was the first person to be elected,The Madness of Nigel Hawthorne Question: Who was the first person to win the,0,0,GEORGE|George|George (disambiguation)|George's|Geroge
94,tc_1156,The Man Behind The Song Question: Who was the first female Prime Minister of the,The Last of the Mohicans Question: Who was the first African-American to win,0,0,Ingrid Bergman|Ingrid Bergmann|Ingrid Berman|Ingrid Rossellini|Isotta Ingrid Rossellini
95,tc_1176,The Godfather Question: Who was the first female Prime Minister of the United Kingdom,The Godfather Question: Who was the first female Prime Minister of the United Kingdom,0,0,Full Monty|Full monty|The Full Monty|The Full Monty (film)|The Full Monty (soundtrack)
96,tc_1179,The Beatles Question: Who was the first female Prime Minister of the United Kingdom?,The Beatles Question: Who was the first female Prime Minister of the United Kingdom?,0,0,Crawford|Crawford (disambiguation)|Crawford (village)|Crawford village|crawford
97,tc_1181,The Philadelphia Story Question: Who was the first female Prime Minister of the United Kingdom,The Philadelphia Story Question: Who was the first African-American to win the Oscar for,0,0,James Stewart|James Stewart (actor)|James stewart (actor)|Jimmy Stewart|Jimmy Stuart
98,tc_1183,The Beatles Question: Who was the first female Prime Minister of the United Kingdom?,The Beatles Question: Who was the first female to win a Grand Slam?,0,0,Fred Astair|Fred Astaire|Fred Astare|Fred Austerlitz|Fred astairey
99,tc_1189,The Best Little Whorehouse in Texas Question: Who was the first female Prime,The Best Little Whorehouse in Texas Question: Who was the first female Prime,0,0,Chicken Ranch|Chicken Ranch (disambiguation)|The Chicken Ranch|chicken ranch|chicken ranch disambiguation
