idx,id,normal_pred,knockout_pred,normal_em,knockout_em,answers
39,tc_626,The Beatles,The Beatles,0,0,F.P. Lamothe|Ferdinand %22Jelly Roll%22 Morton|Ferdinand Joseph La Menthe|Ferdinand Joseph Lamothe|Ferdinand Joseph Morton
40,tc_635,The Shining Path terrorists were known for their brutality and brutality. They were known,The Shining Path terrorists were known for their brutality and brutality. They were known,0,0,El Peru|El Perú|Etymology of Peru|ISO 3166-1:PE|Lower Peru
41,tc_653,1960s-1970sQuestion: What was the first American film,1960s-1970sQuestion: Who was the first African American,0,0,27|twenty seven|twenty-seven
42,tc_657,The Beatles,The Beatles,0,0,Richard Noble|richard noble
43,tc_664,New York,New York,0,0,10th State|10th state|Commonwealth of VA|Commonwealth of Virginia|Council of Virginia
44,tc_665,The European Recovery Program was a major economic stimulus program that was created in 194,The European Recovery Program was a major effort to help Europe recover from the devastation of,0,0,Economic Cooperation Act of 1948|European Recovery Program|European Recovery Programme|European recovery act|Marshal plan
45,tc_672,The first British Prime Minister after Arthur Balfour,"The first ever American movie, The Godfather, was released in 1993",0,0,The Crow|The Crow (2016 film)|The Crow: Dead Time|crow|crow 2016 film
46,tc_678,The Beatles,The Beatles,0,0,Cleotha Staples|Staple Singers|Staples Singers|The Staple Singers|The Staples Singers
47,tc_687,The Beatles,The Beatles,0,0,Family Affair (MC Hammer album)|Family Affair(MC Hammer album)|Hammer (rapper)|M c hammer|M. C. Hammer
48,tc_690,The first person to be arrested for the murder of a police officer was a man,The first woman to be elected as a member of the British Parliament was Margaret Thatcher,0,0,Triumph and Disaster|triumph and disaster
49,tc_691,The Beatles,The Beatles,0,0,Ann Orson|Elthon John|Elton H. John|Elton Hercules John|Elton John
50,tc_704,The United States,The United States,0,0,Angloa|Angola|Etymology of Angola|ISO 3166-1:AO|Republic of Angola
51,tc_715,The Beatles,The Beatles,0,0,Up side down|Upside Down|Upside Down (Diana Ross song)|Upside Down (single)|up side down
52,tc_719,"The first ever American movie, The Wizard of Oz, was released in 193",The first ever American movie to be nominated for an Academy Award for Best Picture was,0,0,Dark Blood|Dark Blood (film)|dark blood|dark blood film
53,tc_723,David Bannerman::::::::Question: Which artist David was born in Bradford UK?,David Bannerman oleh 1st dan 1993,0,0,David Hockney|Hockney|david hockney|hockney
54,tc_725,Mel Gibson's middle name is Mel Gibson.,Mel Gibson's middle name is Mel Gibson.,0,0,Calum Cille|Collumcille|Colm Cille|Colmcille|Colmekill
55,tc_731,The first woman to be elected to the House of Commons was Margaret Thatcher.,The first woman to be elected to the House of Commons was Margaret Thatcher in,0,0,Ariel Community Academy|Chcago|Chi City|Chi town|Chi-Beria
56,tc_759,"""In which movie did Garbo say, """"I want to be alone""""","""In which movie did Garbo say, """"I want to be alone""""",0,0,Grand Hotel|Grand Hotel (disambiguation)|Grand Hôtel|Grand hotel|The Grand Hotel
57,tc_783,The Beatles,The first British woman to win the Nobel Prize in Literature was born in 192,0,0,American cartoon|Cartoon|Cartoonish|Cartoonism|Cartoonistic
58,tc_812,The first woman to win Wimbledon tennis singles?,The first woman to win Wimbledon tennis singles?,0,0,Sarah Virginia Wade|Virginia Wade|sarah virginia wade|virginia wade
59,tc_827,The first US-born winner of golf's British Open.,The first US-born winner of golf's British Open.,0,0,"Hagen, Walter|Walter Charles Hagen|Walter Hagen|hagen walter|walter charles hagen"
60,tc_841,The Sky Train Rail Bridge is a railway bridge in the Netherlands.,The Sky Train Rail Bridge is a railway bridge in the Netherlands.,0,0,America's top hat|CANADA|Canada|Canada's|Canada.
61,tc_847,The Paramount Pictures Corporation was founded in 1919.,The Paramount Pictures Corporation was founded in 1919.,0,0,Celebrated Players Film Corporation|Famous Players Film Company|Raleigh Studios|The Famous Players|celebrated players film corporation
62,tc_866,The first person to reach the South Pole overland was Robert Falcon Scott.,The first person to reach the South Pole overland.,0,0,Ed Hillary|Edmond Hillary|Edmond hillary|Edmund Hilary|Edmund Hillary
63,tc_875,The first woman to be elected to the House of Commons in 1997.,The first woman to be elected to the House of Commons in 1997.,0,0,"Chain of Command (book)|Chain of Command: The Road from 9/11 to Abu Ghraib|Hersh, Seymour M.|Seymour (Sy) Myron Hersh|Seymour Hersch"
64,tc_881,The first British woman to be awarded the Nobel Prize in Literature was in 199,The first British Prime Minister after Arthur Balfour,0,0,Black Jasper|Bruneau Jasper|Bruneau jasper|Egyptian jasper|Jasper
65,tc_886,The Spice Girls,The Spice Girls,0,0,Brad's Drink|Brad's drink|Brads drink|Cherry Pepsi|Cokesi
66,tc_888,The first British Prime Minister after Arthur Balfour,The first British Prime Minister of the 20th century.,0,0,"Carl Dean Wilson|Carl Wilson|Carl Wilson discography|Wilson, Carl|Wilson, Carl Dean"
67,tc_905,The first woman to be elected as a member of the British House of Commons.,The first woman to be elected as a member of the British House of Commons.,0,0,Colin Emm|Colin Lionel Emm|Dick Dawson|Dickie Dawson|Richard Dawson
68,tc_935,"The Lone Ranger's title Kemo Sabe means ""The One Who Is.""",The Lone Ranger was a 1970s rock band that was known for their,0,0,Leine bhan|Lèine bhàn|White Shirt|White shirt|leine bhan
69,tc_938,The Beatles,The Beatles,0,0,Arctos|BEAR|Bear|Bear (zoology)|Bear cub
70,tc_945,The Beatles,The Beatles,0,0,All In The Family|All In the Family|All in the Family|All in the Family (US series)|All in the family
71,tc_954,1969年11月12日 11月12日 11月,1969年11月12日 11月12日 11月,0,0,20 July|20 july|20th July|20th july|Historical anniversaries/July 20
72,tc_955,The first woman to be elected as a member of the British House of Commons was,The first woman to be elected as a member of the British House of Commons was,0,0,Abode of Peace|Administrative divisions of Brunei|Asia/Brunei|BRUNEI|Brunai
73,tc_962,The first woman to be elected to the British House of Commons was Margaret Thatcher in,The first woman to be elected to the British House of Commons was Margaret Thatcher in,0,0,Freelance Photography|Freelance photographer|Photographer|Photographist|Photographr
74,tc_1004,The Beatles,The Beatles,0,0,Pet clark|Petula Clark|Petula Clarke|Petula Sally Olwen Clark|pet clark
75,tc_1007,The first British Prime Minister after Arthur Balfour,The first British Prime Minister after Arthur Balfour,0,0,Keefer Sutherland|Keifer Southerland|Keifer Sutherland|Kiefer Sutherland|Kiefer Sutherland characters
76,tc_1008,1. 2. 3. 4. 5.,1. 2. 3. 4. 5.,0,0,10|ten
77,tc_1009,The Beatles,The Beatles,0,0,"Cobb, Ty|The Georgia Peach|Ty Cobb|Tyrus Cobb|Tyrus Raymond Cobb"
78,tc_1020,The Beatles,The Beatles,0,0,Al Hendrix|Early life of Jimi Hendrix|Early life of jimi hendrix|Electric Church|Gypsy Sun and Rainbows
79,tc_1023,The first woman to be elected to the House of Commons was Margaret Thatcher.,The first woman to be elected to the House of Commons in 1993.,0,0,Perry Mason|Perry Mason (film)|Perry Mason: The Case of the Defiant Daughter|Perry mason|perry mason
80,tc_1028,The Beatles,The Beatles,0,0,Donald Clark Osmond|Donald Osmond|Donnie Osmond|Donny & Marie in Las Vegas|Donny Osmond
81,tc_1029,The Beatles,The Beatles,0,0,Karma (Mase album)|MA$E|Ma$E|Ma$e|Mase
82,tc_1068,The first woman to climb Mount Everest was Hillary Rodham Clinton in 1953,The first woman to climb Mount Everest was Hillary Rodham Clinton in 1953,0,0,Apairist|Apiarian|Apiculture|Bee Keeping|Bee culture
83,tc_1069,The first American woman to be elected to the US Congress was Shirley Chisholm,The first American woman to be elected to the US Congress was in 1992,0,0,6th State|6th state|Commonwealth of Masachusets|Commonwealth of Masachusetts|Commonwealth of Masachussets
84,tc_1070,The first woman to be elected as a member of the House of Commons was Margaret,The first woman to be elected as a member of the House of Commons was Margaret,0,0,Al-Jamahiriya al-%60Arabiyah al-Libiyah ash-Sha%60biyah al-Ishtirakiyah al-Uzma|Etymology of Libya|Free Democratic Libya|Free Libya|ISO 3166-1:LY
85,tc_1098,The first movie to win the Academy Award for Best Picture was “The Passionate,The first movie to win the Academy Award for Best Picture was “The Passionate,0,0,"Harpo Inc.|Harpo Radio, Inc.|Harpo Winfrey|Opera Winfrey|Ophra"
86,tc_1114,The first episode of the Star Trek: The Next Generation was a 1969,The first episode of the Star Trek franchise was a 1969 television series starring,0,0,LEONARD NIMOY|Leonard Nemoy|Leonard Nimoy|Leonard Simon Nimoy|Leonard nimoy
87,tc_1115,The Big Bang Theory,The Big Bang Theory,0,0,"Aniston, Jennifer|Counter Clockwise (film)|Jen Aniston|Jenifer Aniston|Jenifer Anniston"
88,tc_1120,The Beatles,The Beatles,0,0,Fairy dust|Magic dust|Pixie dust|Pixie dust (disambiguation)|Tink (film)
89,tc_1123,John F. Kennedy assassin assassin assassin assassin assassin assassin assassin assassin assassin assassin assassin assassin,John F. Kennedy assassin assassin assassin assassin assassin assassin assassin assassin assassin assassin assassin assassin,0,0,37th President of the United States|37th president of united states|Arthur Burdg Nixon|Arthur Nixon|Dick Nixon
90,tc_1124,The Beatles,The Beatles,0,0,Shine|Shine (EP)|Shine (album)|Shine (disambiguation)|Shine (song)
91,tc_1128,The 1993 film The Godfather Part II was released on 10th,The 1993 film The Godfather Part II was released in the US on,0,0,Roger Corman|Roger William Corman|The Doorway (film)|doorway film|roger corman
92,tc_1131,The first man to walk on the moon was Neil Armstrong.,The first man to walk on the moon was Neil Armstrong.,0,0,Alians (disambiguation)|Alien|Alien (Alien)|Alien (alien)|Alien (disambiguation)
93,tc_1152,The Beatles,The Beatles,0,0,GEORGE|George|George (disambiguation)|George's|Geroge
94,tc_1156,The first woman to win the Best Supporting Actress Oscar for Murder on the Orient Express,The first woman to be awarded the Nobel Prize in Literature was awarded the Nobel Prize,0,0,Ingrid Bergman|Ingrid Bergmann|Ingrid Berman|Ingrid Rossellini|Isotta Ingrid Rossellini
95,tc_1176,The 1993 film The Godfather had You Sexy Thing as its theme,The 1993 film The Godfather Part II was released on 10th,0,0,Full Monty|Full monty|The Full Monty|The Full Monty (film)|The Full Monty (soundtrack)
96,tc_1179,The Beatles,The Beatles,0,0,Crawford|Crawford (disambiguation)|Crawford (village)|Crawford village|crawford
97,tc_1181,The Beatles,The Beatles,0,0,James Stewart|James Stewart (actor)|James stewart (actor)|Jimmy Stewart|Jimmy Stuart
98,tc_1183,The Beatles,The Beatles,0,0,Fred Astair|Fred Astaire|Fred Astare|Fred Austerlitz|Fred astairey
99,tc_1189,The first American woman to be elected to the US Congress was Elizabeth Warren.,The first American woman to be elected to the US Congress was Elizabeth Warren.,0,0,Chicken Ranch|Chicken Ranch (disambiguation)|The Chicken Ranch|chicken ranch|chicken ranch disambiguation
