idx,id,normal_nll,knockout_nll,delta_knockout_minus_normal,normal_tokens,knockout_tokens,normal_answer,knockout_answer
20,tc_282,4.7372822761535645,4.727573871612549,-0.009708404541015625,4,4,Clive Metcalfe,Clive Metcalfe
21,tc_288,4.441173553466797,4.398993968963623,-0.04217958450317383,2,2,61,61
22,tc_298,2.565365791320801,2.5663540363311768,0.0009882450103759766,10,10,Austro-Hungarian Empire (Romania),Austro-Hungarian Empire (Romania)
23,tc_304,6.722373962402344,6.782123565673828,0.059749603271484375,3,3,Wild Palms,Wild Palms
24,tc_316,2.235567569732666,2.220801830291748,-0.014765739440917969,6,6,Fiddler on the Roof,Fiddler on the Roof
25,tc_349,1.313578724861145,1.3049273490905762,-0.008651375770568848,6,6,Mutiny on the Bounty,Mutiny on the Bounty
26,tc_379,4.977567672729492,5.002827167510986,0.02525949478149414,6,6,Person (philosophical),Person (philosophical)
27,tc_397,4.546721458435059,4.55314302444458,0.006421566009521484,7,7,Boojum (disambiguation),Boojum (disambiguation)
28,tc_453,2.366896629333496,2.382641553878784,0.015744924545288086,4,10,Joshua son of Nun,יְהוֹשֻׁעַ
29,tc_455,5.610806941986084,5.710928916931152,0.10012197494506836,5,5,Dangerous Minds (film),Dangerous Minds (film)
30,tc_510,5.103672981262207,5.106744766235352,0.0030717849731445312,5,5,Rudolph (disambiguation),Rudolph (disambiguation)
31,tc_515,5.030757904052734,5.013357639312744,-0.017400264739990234,6,6,Master builder (occupation),Master builder (occupation)
32,tc_517,3.2440943717956543,3.1732211112976074,-0.07087326049804688,2,2,Rudolf Hess,Rudolf Hess
33,tc_518,4.970254898071289,5.02773904800415,0.05748414993286133,3,3,48 hours,48 hours
34,tc_538,2.0347888469696045,2.01908540725708,-0.015703439712524414,6,6,J. G. Ballard,J. G. Ballard
35,tc_540,2.2431890964508057,2.278170108795166,0.03498101234436035,3,3,JAPAN,JAPAN
36,tc_543,3.856053590774536,3.8515374660491943,-0.004516124725341797,6,6,Rim (basketball),Rim (basketball)
37,tc_559,4.132340908050537,4.1348161697387695,0.002475261688232422,57,57,Medley: Intro Venus / Sugar Sugar / No Reply / I'll Be Back / Drive My Car / Do You Want to Know a Secret / We Can Work It Out / I Should Have Known Better / Nowhere Man / You're Going to Lose That Girl / Stars on 45,Medley: Intro Venus / Sugar Sugar / No Reply / I'll Be Back / Drive My Car / Do You Want to Know a Secret / We Can Work It Out / I Should Have Known Better / Nowhere Man / You're Going to Lose That Girl / Stars on 45
38,tc_561,1.496622085571289,1.5138963460922241,0.01727426052093506,6,6,"Vancouver, British Columbia, Canada","Vancouver, British Columbia, Canada"
39,tc_564,5.020021438598633,4.9897990226745605,-0.030222415924072266,4,4,The Kentuckian,The Kentuckian
40,tc_585,4.779797077178955,4.88839864730835,0.10860157012939453,3,3,Undersea,Undersea
41,tc_586,2.236551523208618,2.215294361114502,-0.02125716209411621,6,6,"Coventry, Warwickshire","Coventry, Warwickshire"
42,tc_596,1.9066499471664429,1.8932900428771973,-0.013359904289245605,4,4,The Manticore,The Manticore
43,tc_604,4.036565780639648,4.07865571975708,0.04208993911743164,6,6,Cyclopes (disambiguation),Cyclopes (disambiguation)
44,tc_626,1.6613094806671143,1.6275802850723267,-0.0337291955947876,4,4,Jelly Roll Morton,Jelly Roll Morton
45,tc_635,4.273932456970215,4.3611650466918945,0.08723258972167969,8,8,ISO 3166-1:PE,ISO 3166-1:PE
46,tc_653,3.1546616554260254,3.0305533409118652,-0.12410831451416016,2,2,27,27
47,tc_657,5.065891265869141,5.131284236907959,0.06539297103881836,2,2,Richard Noble,Richard Noble
48,tc_664,2.2623543739318848,2.363149881362915,0.10079550743103027,4,4,"Virginia, United States","Virginia, United States"
49,tc_665,1.008602261543274,1.0405339002609253,0.03193163871765137,3,3,European Recovery Program,European Recovery Program
50,tc_672,4.109781742095947,4.084867477416992,-0.024914264678955078,7,7,The Crow (2016 film),The Crow (2016 film)
51,tc_678,3.10021710395813,2.9684553146362305,-0.13176178932189941,6,6,The Staple Singers,The Staple Singers
52,tc_687,4.47256326675415,4.4435529708862305,-0.029010295867919922,5,5,M. C. Hammer,M. C. Hammer
53,tc_690,4.86854362487793,4.6988630294799805,-0.16968059539794922,4,4,Triumph and Disaster,Triumph and Disaster
54,tc_691,2.605942487716675,2.60280179977417,-0.003140687942504883,3,3,Elton John,Elton John
55,tc_704,3.748623847961426,3.756121873855591,0.007498025894165039,4,4,The Republic of Angola,The Republic of Angola
56,tc_715,4.034517765045166,4.042459964752197,0.00794219970703125,9,9,Upside Down (Diana Ross song),Upside Down (Diana Ross song)
57,tc_719,4.888863563537598,4.895960330963135,0.007096767425537109,5,5,Dark Blood (film),Dark Blood (film)
58,tc_723,1.5894439220428467,1.6382020711898804,0.04875814914703369,4,4,David Hockney,David Hockney
59,tc_725,3.346912145614624,3.0232295989990234,-0.3236825466156006,6,6,St. Columcille,St. Columcille
60,tc_731,1.8242311477661133,1.7743088006973267,-0.04992234706878662,6,6,"Chicago, Illinois, United States","Chicago, Illinois, United States"
61,tc_759,4.7826738357543945,4.691824436187744,-0.09084939956665039,3,3,The Grand Hotel,The Grand Hotel
62,tc_783,5.971691608428955,5.978463649749756,0.006772041320800781,3,3,Cartoonism,Cartoonism
63,tc_812,5.55890417098999,5.537909984588623,-0.020994186401367188,6,6,sarah virginia wade,sarah virginia wade
64,tc_827,5.1168599128723145,5.267961502075195,0.15110158920288086,2,2,Walter Hagen,Walter Hagen
65,tc_841,3.449519157409668,3.4328157901763916,-0.016703367233276367,9,9,ᑲᓇᑕ,ᑲᓇᑕ
66,tc_847,3.664823293685913,3.691283941268921,0.026460647583007812,3,3,The Famous Players,The Famous Players
67,tc_866,2.1152427196502686,2.0471084117889404,-0.06813430786132812,3,3,Sir Edmund Hillary,Sir Edmund Hillary
68,tc_875,2.769425630569458,2.9476983547210693,0.17827272415161133,5,3,Seymour M. Hersh,Seymour Hersh
69,tc_881,6.220900535583496,6.271933555603027,0.05103302001953125,5,5,egyptian jasper,egyptian jasper
70,tc_886,1.3425514698028564,1.3358826637268066,-0.006668806076049805,4,4,Pepsi Cola,Pepsi Cola
71,tc_888,6.141878604888916,6.149448394775391,0.007569789886474609,4,4,carl wilson,carl wilson
72,tc_905,5.60767936706543,5.639847755432129,0.03216838836669922,4,4,richard dawson,richard dawson
73,tc_935,5.282467365264893,5.325289249420166,0.04282188415527344,3,3,White Shirt,White Shirt
74,tc_938,5.827977180480957,5.894570350646973,0.06659317016601562,5,5,Bear (zoology),Bear (zoology)
75,tc_945,3.9553685188293457,4.155389785766602,0.20002126693725586,4,4,All in the Family,All in the family
76,tc_954,1.0985122919082642,1.0806787014007568,-0.017833590507507324,3,3,July 20,July 20
77,tc_955,1.1184539794921875,1.1774895191192627,0.059035539627075195,4,4,Brunei Darussalam,Brunei Darussalam
78,tc_962,3.9820215702056885,4.0441575050354,0.062135934829711914,4,4,Freelance photographer,Freelance photographer
79,tc_1004,6.645179748535156,6.635722637176514,-0.009457111358642578,3,3,Petula Clark,Petula Clark
80,tc_1007,0.8478889465332031,0.8391029238700867,-0.008786022663116455,3,3,Kiefer Sutherland,Kiefer Sutherland
81,tc_1008,2.577482223510742,2.6143531799316406,0.03687095642089844,2,2,10,10
82,tc_1009,0.9833874702453613,0.960799515247345,-0.022587954998016357,3,3,The Georgia Peach,The Georgia Peach
83,tc_1020,1.7101815938949585,1.744144082069397,0.03396248817443848,4,4,Jimi Hendrix,Jimi Hendrix
84,tc_1023,5.326904296875,5.351118564605713,0.02421426773071289,10,10,Perry Mason: The Case of the Defiant Daughter,Perry Mason: The Case of the Defiant Daughter
85,tc_1028,3.7223734855651855,3.6827821731567383,-0.039591312408447266,4,4,Donny Osmond,Donny Osmond
86,tc_1029,6.709070682525635,6.738638877868652,0.029568195343017578,7,7,Karma (Mase album),Karma (Mase album)
87,tc_1068,4.322581768035889,4.275834083557129,-0.046747684478759766,5,5,History of beekeeping,History of beekeeping
88,tc_1069,2.678358554840088,2.8298637866973877,0.1515052318572998,7,7,Massachusetts (U.S. state),Massachusetts (U.S. state)
89,tc_1070,3.4894583225250244,3.4832303524017334,-0.006227970123291016,15,15,ⵍⵉⴱⵢⴰ,ⵍⵉⴱⵢⴰ
90,tc_1098,1.2850267887115479,1.3068017959594727,0.021775007247924805,5,5,Oprah Winfrey,Oprah Winfrey
91,tc_1114,2.3708486557006836,2.361708879470825,-0.009139776229858398,3,3,Leonard Nimoy,Leonard Nimoy
92,tc_1115,2.8316650390625,2.815567970275879,-0.016097068786621094,3,3,Jennifer Aniston,Jennifer Aniston
93,tc_1120,4.12231969833374,4.097668170928955,-0.024651527404785156,7,7,Tinker Bell (Disney),Tinker Bell (Disney)
94,tc_1123,1.27028489112854,1.344454050064087,0.07416915893554688,8,8,37th President of the United States,37th President of the United States
95,tc_1124,4.34891414642334,4.323683261871338,-0.025230884552001953,6,6,Shine (disambiguation),Shine (disambiguation)
96,tc_1128,3.3112404346466064,3.334792137145996,0.02355170249938965,3,3,Roger Corman,Roger Corman
97,tc_1131,3.3232181072235107,3.3371660709381104,0.01394796371459961,6,6,Aliens (novel),Aliens (novel)
98,tc_1152,4.4555439949035645,4.424375057220459,-0.03116893768310547,3,3,GEORGE,GEORGE
99,tc_1156,1.2304325103759766,1.3427810668945312,0.11234855651855469,4,4,Ingrid Bergman,Ingrid Bergman
100,tc_1176,3.758521318435669,3.788374662399292,0.029853343963623047,7,7,The Full Monty (film),The Full Monty (film)
101,tc_1179,5.729366302490234,5.785089015960693,0.055722713470458984,5,5,Crawford (disambiguation),Crawford (disambiguation)
102,tc_1181,3.128361940383911,3.156999111175537,0.028637170791625977,2,2,James Stewart,James Stewart
103,tc_1183,2.255852222442627,2.2798383235931396,0.023986101150512695,3,3,Fred Astaire,Fred Astaire
104,tc_1189,4.541132926940918,4.4751434326171875,-0.06598949432373047,3,3,The Chicken Ranch,The Chicken Ranch
105,tc_1210,2.379913330078125,2.4762508869171143,0.09633755683898926,5,5,Peter O’Toole,Peter O’Toole
106,tc_1243,6.611434459686279,6.618003845214844,0.006569385528564453,2,2,Daughters,Daughters
107,tc_1250,3.8786728382110596,3.7807838916778564,-0.09788894653320312,5,5,Martina Hingis,Martina Hingis
108,tc_1254,4.107182502746582,4.1371235847473145,0.029941082000732422,8,8,ISO 3166-1:BE,ISO 3166-1:BE
109,tc_1284,1.74201238155365,1.6885743141174316,-0.05343806743621826,3,3,April 30,April 30
110,tc_1313,2.5220084190368652,2.5148985385894775,-0.007109880447387695,7,7,Colorado (U.S. state),Colorado (U.S. state)
111,tc_1321,3.7225453853607178,3.75585675239563,0.03331136703491211,3,3,The Ryder Cup,The Ryder Cup
112,tc_1323,2.343956708908081,2.4347519874572754,0.09079527854919434,5,5,Vienna (Austria),Vienna (Austria)
113,tc_1324,4.598208427429199,4.575467109680176,-0.022741317749023438,2,2,13,13
114,tc_1328,2.905709981918335,2.9509878158569336,0.04527783393859863,6,6,Guess Who's Coming to Dinner,Guess Who's Coming to Dinner
115,tc_1331,4.902524948120117,5.033960342407227,0.13143539428710938,6,6,Gary Lewis and the Playboys,Gary Lewis and the Playboys
116,tc_1333,4.734580039978027,4.783829689025879,0.04924964904785156,8,8,ISO 3166-1:SE,ISO 3166-1:SE
117,tc_1340,2.6185476779937744,2.6202409267425537,0.0016932487487792969,7,7,Aotearoa / New Zealand,Aotearoa / New Zealand
118,tc_1341,1.033149003982544,1.0588947534561157,0.025745749473571777,5,5,Yuri Andropov,Yuri Andropov
119,tc_1348,4.735297679901123,4.802404403686523,0.06710672378540039,3,3,Baby buggy,Baby buggy
120,tc_1365,2.41969895362854,2.489089012145996,0.06939005851745605,5,5,"Gdańsk, Poland","Gdańsk, Poland"
121,tc_1387,3.636094808578491,3.5895192623138428,-0.04657554626464844,2,2,Tina Turner,Tina Turner
122,tc_1421,0.5724601745605469,0.5396882891654968,-0.03277188539505005,2,2,Harrison Ford,Harrison Ford
123,tc_1442,2.876141309738159,2.9275147914886475,0.05137348175048828,3,3,Roger Maris,Roger Maris
124,tc_1456,1.6704624891281128,1.678640365600586,0.008177876472473145,4,4,The Philadelphia Phillies,The Philadelphia Phillies
125,tc_1468,4.30313777923584,4.378416061401367,0.07527828216552734,2,2,12,12
126,tc_1484,2.9706292152404785,2.964114189147949,-0.006515026092529297,4,4,Rocky Marciano,Rocky Marciano
127,tc_1485,4.906145095825195,4.825580596923828,-0.08056449890136719,4,8,Ulf Bergman,ISO 3166-1:SE
128,tc_1516,2.9340529441833496,2.940518379211426,0.006465435028076172,8,8,"Baltimore, Maryland, United States of America","Baltimore, Maryland, United States of America"
129,tc_1535,3.7808218002319336,3.832628011703491,0.05180621147155762,3,3,Men's Basketball,Men's Basketball
130,tc_1537,2.9762766361236572,2.937838315963745,-0.03843832015991211,6,6,Superman (fictional character),Superman (fictional character)
131,tc_1542,4.202731609344482,4.042606353759766,-0.1601252555847168,2,2,Boston Braves,Boston Braves
132,tc_1602,4.699825286865234,4.649807453155518,-0.0500178337097168,5,5,Splendor in the Grass,Splendor in the Grass
133,tc_1606,3.996011257171631,3.969493865966797,-0.026517391204833984,4,4,Debra Winger,Debra Winger
134,tc_1609,3.6646244525909424,3.7322888374328613,0.06766438484191895,9,9,Mickey Dolenz (The Monkees),Mickey Dolenz (The Monkees)
135,tc_1620,2.4899301528930664,2.44472074508667,-0.045209407806396484,4,4,Tom Selleck,Tom Selleck
136,tc_1622,1.6706289052963257,1.6553176641464233,-0.015311241149902344,5,5,Amos ‘n’ Andy,Amos ‘n’ Andy
137,tc_1623,5.718727111816406,5.698121547698975,-0.02060556411743164,3,3,John Astin,John Astin
138,tc_1635,5.977043628692627,5.898209571838379,-0.07883405685424805,4,4,Florence Hendersen,Florence Hendersen
139,tc_1686,0.3503669798374176,0.34647610783576965,-0.0038908720016479492,3,3,Woodrow Wilson,Woodrow Wilson
140,tc_1693,2.1967835426330566,2.2406704425811768,0.04388689994812012,4,4,Pete Sampras,Pete Sampras
141,tc_1699,4.244665145874023,4.331149101257324,0.08648395538330078,4,4,Sister-in-Law,Sister-in-Law
142,tc_1700,2.4659929275512695,2.6284875869750977,0.16249465942382812,3,3,4 years,4 years
143,tc_1702,6.715462684631348,6.767657279968262,0.05219459533691406,5,5,Swimming (disambiguation),Swimming (disambiguation)
144,tc_1704,3.9312210083007812,3.667879343032837,-0.26334166526794434,2,2,The French,The French
145,tc_1730,5.907148838043213,5.891496658325195,-0.015652179718017578,3,3,Paddler,Paddler
146,tc_1735,3.013230562210083,2.9519176483154297,-0.06131291389465332,2,2,3,3
147,tc_1754,3.384767770767212,3.4425694942474365,0.05780172348022461,3,3,Junk mail,Junk mail
148,tc_1773,1.2153003215789795,1.1758500337600708,-0.03945028781890869,5,5,The United States of America,The United States of America
149,tc_1798,2.4259326457977295,2.4347612857818604,0.00882863998413086,3,3,1905,1905
150,tc_1816,4.972723960876465,4.945910453796387,-0.026813507080078125,2,2,Frank Harris,Frank Harris
151,tc_1826,4.51042366027832,4.499053478240967,-0.011370182037353516,8,8,Rapture (Protestant belief),Rapture (Protestant belief)
152,tc_1858,3.755852222442627,3.7988858222961426,0.043033599853515625,16,16,"Kansas City-Overland Park-Kansas City, MO-KS Combined Statistical Area","Kansas City-Overland Park-Kansas City, MO-KS Combined Statistical Area"
153,tc_1859,1.773582935333252,1.8137925863265991,0.04020965099334717,3,3,"Cleveland, Ohio","Cleveland, Ohio"
154,tc_1865,2.62194561958313,2.6518478393554688,0.029902219772338867,6,6,1930-1939,1930-1939
155,tc_1867,3.4796290397644043,3.521825075149536,0.042196035385131836,14,14,ቀይሕ ባሕሪ,ቀይሕ ባሕሪ
156,tc_1888,5.4382219314575195,5.379210948944092,-0.059010982513427734,2,2,Presley,Presley
157,tc_1914,1.1116373538970947,1.1112287044525146,-0.0004086494445800781,7,7,The People’s Republic of China,The People’s Republic of China
158,tc_1921,5.084340572357178,5.046573638916016,-0.03776693344116211,4,4,Victor Edelstein,Victor Edelstein
159,tc_1924,0.7262648344039917,0.7370365858078003,0.010771751403808594,5,5,Yasser Arafat,Yasser Arafat
160,tc_1938,2.912450075149536,2.841980457305908,-0.07046961784362793,5,5,The Republic of South Africa,The Republic of South Africa
161,tc_1943,2.361522674560547,2.4339728355407715,0.07245016098022461,4,4,Arab Republic of Egypt,Arab Republic of Egypt
162,tc_1944,1.1583943367004395,1.2171976566314697,0.05880331993103027,5,5,Burma (Myanmar),Burma (Myanmar)
163,tc_1945,4.111484050750732,4.094255447387695,-0.01722860336303711,6,6,Chaplin (disambiguation),Chaplin (disambiguation)
164,tc_1968,4.661002159118652,4.673275947570801,0.012273788452148438,5,5,List of nightclubs,History of nightclubs
165,tc_1973,4.265410900115967,4.233988285064697,-0.03142261505126953,3,3,On the Roof,On the Roof
166,tc_1977,0.9091268181800842,0.9660040736198425,0.0568772554397583,3,3,World War II,World War II
167,tc_2020,2.547163486480713,2.5083911418914795,-0.0387723445892334,3,3,8%,8%
168,tc_2031,2.0320873260498047,2.1270697116851807,0.09498238563537598,5,6,"Maastricht, Netherlands","Maastricht, the Netherlands"
169,tc_2032,2.072200298309326,2.1530213356018066,0.08082103729248047,5,5,"Rheims, France","Rheims, France"
170,tc_2063,1.665031909942627,1.6719251871109009,0.006893277168273926,3,3,"Paris, France","Paris, France"
171,tc_2090,1.494197130203247,1.6255989074707031,0.13140177726745605,4,4,Ub Iwerks,Ub Iwerks
172,tc_2097,3.43459153175354,3.5239834785461426,0.08939194679260254,2,2,Julie Andrews,Julie Andrews
173,tc_2111,6.3507232666015625,6.349780082702637,-0.0009431838989257812,4,4,Barbara Jean Morehead,Barbara Jean Morehead
174,tc_2114,4.932792663574219,4.949764251708984,0.016971588134765625,5,5,Orange (disambiguation),Orange (disambiguation)
175,tc_2116,4.5922932624816895,4.564219951629639,-0.02807331085205078,3,3,North Atlantic Ocean,Across the pond
176,tc_2128,5.350862503051758,5.41480827331543,0.06394577026367188,4,4,Chess (game),Chess (game)
177,tc_2145,5.123196125030518,5.264298439025879,0.14110231399536133,2,2,Debbie Jackson,Debbie Jackson
178,tc_2167,2.371373414993286,2.317805051803589,-0.053568363189697266,8,8,"Pittsburgh, Pennsylvania, U.S.A.","Pittsburgh, Pennsylvania, U.S.A."
179,tc_2182,3.5150959491729736,3.535919666290283,0.02082371711730957,10,10,"When I'm good, I'm very good...","When I'm good, I'm very good..."
180,tc_2191,4.75572395324707,4.749632358551025,-0.006091594696044922,3,3,Bobby Vinton,Bobby Vinton
181,tc_2202,4.377217769622803,4.408428192138672,0.03121042251586914,3,3,I.S.,I.S.
182,tc_2208,1.8611838817596436,1.8191208839416504,-0.042062997817993164,8,8,"Philadelphia, Pennsylvania, U.S.A.","Philadelphia, Pennsylvania, U.S.A."
183,tc_2218,0.9186234474182129,0.9423522353172302,0.023728787899017334,3,3,Apollo 17,Apollo 17
184,tc_2222,1.1704548597335815,1.3263473510742188,0.1558924913406372,13,13,"George W. Bush, 43rd President of the United States","George W. Bush, 43rd President of the United States"
185,tc_2229,1.9259328842163086,1.8987354040145874,-0.02719748020172119,5,5,Ezer Weizman,Ezer Weizman
186,tc_2236,0.9340749979019165,0.9941756129264832,0.06010061502456665,5,5,Reinhard Heydrich,Reinhard Heydrich
187,tc_2244,3.404123067855835,3.4799420833587646,0.07581901550292969,1,1,Marcos,Marcos
188,tc_2250,2.6536571979522705,2.6353070735931396,-0.01835012435913086,3,3,Earthquakes,Earthquakes
189,tc_2252,2.051298141479492,2.018554210662842,-0.03274393081665039,7,1,Texas (U.S. state),Texas
190,tc_2256,2.4257407188415527,2.586007833480835,0.16026711463928223,7,7,Wisconsin (U.S. state),Wisconsin (U.S. state)
191,tc_2257,1.835092306137085,1.977988839149475,0.14289653301239014,1,1,December,December
192,tc_2265,3.120128870010376,3.087803363800049,-0.03232550621032715,2,2,His wife,His wife
193,tc_2270,2.4714150428771973,2.4249236583709717,-0.046491384506225586,2,2,21,21
194,tc_2280,2.637504816055298,2.6198570728302,-0.017647743225097656,7,7,Belle Fourche and Cheyenne,Belle Fourche and Cheyenne
195,tc_2287,2.3687126636505127,2.3054049015045166,-0.0633077621459961,3,3,1929,1929
196,tc_2295,2.0349340438842773,1.988569736480713,-0.04636430740356445,6,6,"New York, U.S.A","New York, U.S.A"
197,tc_2299,5.647902965545654,5.6461076736450195,-0.0017952919006347656,5,5,Shot (disambiguation),Shot (disambiguation)
198,tc_2300,0.9085191488265991,0.9083372950553894,-0.0001818537712097168,5,5,The Caped Crusader,The Caped Crusader
199,tc_2306,1.1003092527389526,1.0852683782577515,-0.015040874481201172,3,3,Lee Harvey Oswald,Lee Harvey Oswald
